Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,FlowerColour,YearCollected,MonthCollected,StigmaLegnth,Species
73,6.3,2.5,4.9,1.5,Gray,1996,12,15,Iris-versicolor
74,6.1,2.8,4.7,1.2,Black,2008,6,15,Iris-versicolor
75,6.4,2.9,4.3,1.3,Orange,2007,6,18,Iris-versicolor
76,6.6,3,4.4,1.4,Violet,1996,10,19,Iris-versicolor
77,6.8,2.8,4.8,1.4,Black,1997,6,20,Iris-versicolor
78,6.7,3,5,1.7,Green,2005,10,18,Iris-versicolor
79,6,2.9,4.5,1.5,White,1999,4,19,Iris-versicolor
80,5.7,2.6,3.5,1,Lime,2004,11,17,Iris-versicolor
81,5.5,2.4,3.8,1.1,Pink,1995,5,17,Iris-versicolor
82,5.5,2.4,3.7,1,Aqua,2001,12,15,Iris-versicolor
83,5.8,2.7,3.9,1.2,Orange,2002,2,16,Iris-versicolor
84,6,2.7,5.1,1.6,Orange,1996,7,19,Iris-versicolor
85,5.4,3,4.5,1.5,Maroon,1996,6,18,Iris-versicolor
86,6,3.4,4.5,1.6,Gold,1998,3,14,Iris-versicolor
87,6.7,3.1,4.7,1.5,Gray,2005,6,20,Iris-versicolor
88,6.3,2.3,4.4,1.3,Lime,1997,4,16,Iris-versicolor
89,5.6,3,4.1,1.3,Teal,2002,7,19,Iris-versicolor
90,5.5,2.5,4,1.3,Navy,2003,7,18,Iris-versicolor
91,5.5,2.6,4.4,1.2,Orange,2002,8,17,Iris-versicolor
92,6.1,3,4.6,1.4,Gray,2010,6,18,Iris-versicolor
93,5.8,2.6,4,1.2,Pink,1997,11,19,Iris-versicolor
94,5,2.3,3.3,1,Aqua,2005,9,20,Iris-versicolor
95,5.6,2.7,4.2,1.3,Orange,1995,7,17,Iris-versicolor
96,5.7,3,4.2,1.2,Gray,2009,3,16,Iris-versicolor
97,5.7,2.9,4.2,1.3,Blue,2003,1,17,Iris-versicolor
98,6.2,2.9,4.3,1.3,Lime,2006,5,17,Iris-versicolor
99,5.1,2.5,3,1.1,Orange,2005,7,19,Iris-versicolor
100,5.7,2.8,4.1,1.3,Maroon,2003,2,17,Iris-versicolor
101,6.3,3.3,6,2.5,Red,2002,1,2,Iris-virginica
102,5.8,2.7,5.1,1.9,Black,2006,2,4,Iris-virginica
103,7.1,3,5.9,2.1,Purple,2006,8,2,Iris-virginica
104,6.3,2.9,5.6,1.8,Red,2000,3,2,Iris-virginica
105,6.5,3,5.8,2.2,Pink,2008,3,2,Iris-virginica
106,7.6,3,6.6,2.1,Olive,1995,4,4,Iris-virginica
107,4.9,2.5,4.5,1.7,Aqua,2008,7,2,Iris-virginica
108,7.3,2.9,6.3,1.8,Orange,2005,11,1,Iris-virginica
109,6.7,2.5,5.8,1.8,Pink,1996,5,2,Iris-virginica
110,7.2,3.6,6.1,2.5,Blue,2005,6,1,Iris-virginica
111,6.5,3.2,5.1,2,Red,2007,10,4,Iris-virginica
112,6.4,2.7,5.3,1.9,Teal,1995,10,4,Iris-virginica
113,6.8,3,5.5,2.1,Maroon,1997,5,4,Iris-virginica
114,5.7,2.5,5,2,Maroon,2003,5,1,Iris-virginica
115,5.8,2.8,5.1,2.4,Purple,2010,7,2,Iris-virginica
116,6.4,3.2,5.3,2.3,Yellow,2000,3,4,Iris-virginica
117,6.5,3,5.5,1.8,Gold,2008,12,2,Iris-virginica
118,7.7,3.8,6.7,2.2,Gray,2005,11,4,Iris-virginica
119,7.7,2.6,6.9,2.3,Gray,2007,7,2,Iris-virginica
120,6,2.2,5,1.5,Aqua,1996,7,3,Iris-virginica
121,6.9,3.2,5.7,2.3,Olive,2010,3,4,Iris-virginica
122,5.6,2.8,4.9,2,Olive,1996,7,3,Iris-virginica
123,7.7,2.8,6.7,2,Gray,2003,4,2,Iris-virginica
124,6.3,2.7,4.9,1.8,Pink,1999,2,2,Iris-virginica
125,6.7,3.3,5.7,2.1,Teal,2008,10,1,Iris-virginica
126,7.2,3.2,6,1.8,Navy,1995,9,3,Iris-virginica
127,6.2,2.8,4.8,1.8,Lime,1997,3,2,Iris-virginica
128,6.1,3,4.9,1.8,Red,2008,9,2,Iris-virginica
129,6.4,2.8,5.6,2.1,White,2000,2,4,Iris-virginica
130,7.2,3,5.8,1.6,Brown,1997,12,1,Iris-virginica
131,7.4,2.8,6.1,1.9,Brown,2007,5,3,Iris-virginica
132,7.9,3.8,6.4,2,Lime,2009,5,1,Iris-virginica
133,6.4,2.8,5.6,2.2,White,1996,4,1,Iris-virginica
134,6.3,2.8,5.1,1.5,Purple,2010,12,2,Iris-virginica
135,6.1,2.6,5.6,1.4,Navy,2006,1,1,Iris-virginica
136,7.7,3,6.1,2.3,Brown,2008,3,2,Iris-virginica
137,6.3,3.4,5.6,2.4,Red,2010,11,3,Iris-virginica
138,6.4,3.1,5.5,1.8,Olive,2008,4,3,Iris-virginica
139,6,3,4.8,1.8,Lime,2007,3,1,Iris-virginica
140,6.9,3.1,5.4,2.1,Violet,2004,11,4,Iris-virginica
141,6.7,3.1,5.6,2.4,Violet,1999,5,4,Iris-virginica
142,6.9,3.1,5.1,2.3,Pink,1996,7,3,Iris-virginica
143,5.8,2.7,5.1,1.9,Black,1995,6,4,Iris-virginica
144,6.8,3.2,5.9,2.3,Green,2004,11,2,Iris-virginica
145,6.7,3.3,5.7,2.5,Purple,2010,2,4,Iris-virginica
146,6.7,3,5.2,2.3,Purple,2001,5,3,Iris-virginica
147,6.3,2.5,5,1.9,Lime,2006,10,4,Iris-virginica
148,6.5,3,5.2,2,Silver,2007,10,2,Iris-virginica
149,6.2,3.4,5.4,2.3,Lime,2002,6,4,Iris-virginica
150,5.9,3,5.1,1.8,Violet,2006,1,2,Iris-virginica
